directory,action,left,right
./data/breakages/cidiff_75,UPDATED,481,481
./data/breakages/cv_45,UPDATED,19,19
./data/breakages/guava_1947,UPDATED,576,575
./data/breakages/commonslang_2089,UPDATED,2971,442
./data/breakages/mimecraft_2316,UPDATED,100,101
./data/breakages/juliac_789,UPDATED,7662,8353
./data/breakages/gumtreespoonastdiff_2017,UPDATED,215,215
./data/breakages/assertj_1944,UPDATED,3098,3098
./data/breakages/disklrucache_2210,UPDATED,38,40
./data/breakages/jimfs_1890,UPDATED,498,499
./data/breakages/astor_1278,UPDATED,12,40
./data/breakages/disklrucache_2210,MOVED_UNCHANGED,463,463
./data/breakages/sorald_265,UPDATED,689,802
./data/breakages/nopol_1347,UPDATED,181,181
./data/breakages/jimfs_1890,UPDATED,940,941
./data/breakages/cidiff_57,UPDATED,148,148
./data/breakages/npefix_1847,UPDATED,28,28
./data/breakages/commonscodec_2463,MOVED_UNCHANGED,91,58
./data/breakages/jimfs_1890,UPDATED,177,177
./data/breakages/jimfs_1890,UPDATED,618,619
./data/breakages/guava_1947,UPDATED,26,26
./data/breakages/metamutator_1765,UPDATED,112,112
./data/breakages/mimecraft_2316,UPDATED,1487,197
./data/breakages/juliac_789,MOVED_UPDATED,7307,9469
./data/breakages/casper_1774,UPDATED,293,430
./data/breakages/google_auto_693,UPDATED,306,306
./data/breakages/casper_1774,UPDATED,137,137
./data/breakages/googleguice_2121,MOVED_UPDATED,760,950
./data/breakages/dspot_842,MOVED_UNCHANGED,11688,11506
./data/breakages/astor_1260,UPDATED,170,171
./data/breakages/mimecraft_2316,UPDATED,203,186
./data/breakages/cocospoon_1754,UPDATED,32,32
./data/breakages/guava_1947,UPDATED,720,719
./data/breakages/jimfs_1890,UPDATED,346,347
./data/breakages/npefix_1847,UPDATED,184,184
./data/breakages/sorald_445,UPDATED,134,165
./data/breakages/juliac_789,UPDATED,345,345
./data/breakages/astor_400,UPDATED,24,24
./data/breakages/casper_1774,MOVED_UNCHANGED,119,118
./data/breakages/google_auto_693,UPDATED,480,480
./data/breakages/disklrucache_2210,UPDATED,473,474
./data/breakages/npefix_1847,UPDATED,637,637
./data/breakages/mimecraft_2316,UPDATED,121,122
./data/breakages/assertj_1944,MOVED_UNCHANGED,14555,5533
./data/breakages/jperturb_1634,UPDATED,143,143
./data/breakages/cidiff_57,UPDATED,106,106
./data/breakages/npefix_1847,UPDATED,1508,924
./data/breakages/cidiff_75,UPDATED,623,560
